model_file,model_name,RMSE
Left.Amygdala_female.Rdata,mfp.female.model,180.77499932988607
Left.Amygdala_male.Rdata,mfp.male.model,204.00627289212312
Left.Caudate_female.Rdata,mfp.female.model,379.4026039071034
Left.Caudate_male.Rdata,mfp.male.model,428.62969346629416
Left.Cerebellum.Cortex_female.Rdata,mfp.female.model,4421.303174541383
Left.Cerebellum.Cortex_male.Rdata,mfp.male.model,5184.124566866411
Left.Hippocampus_female.Rdata,mfp.female.model,356.3256155211421
Left.Hippocampus_male.Rdata,mfp.male.model,402.34264250125943
Left.Pallidum_female.Rdata,mfp.female.model,223.3401588744804
Left.Pallidum_male.Rdata,mfp.male.model,245.1411506988853
Left.Putamen_female.Rdata,mfp.female.model,534.2334416734478
Left.Putamen_male.Rdata,mfp.male.model,596.4965558340269
Left.Thalamus_female.Rdata,mfp.female.model,695.2294442755327
Left.Thalamus_male.Rdata,mfp.male.model,804.2711170551984
Right.Amygdala_female.Rdata,mfp.female.model,177.52086404411745
Right.Amygdala_male.Rdata,mfp.male.model,202.896570620649
Right.Caudate_female.Rdata,mfp.female.model,384.7486039968788
Right.Caudate_male.Rdata,mfp.male.model,435.41366283234476
Right.Cerebellum.Cortex_female.Rdata,mfp.female.model,4585.452173796079
Right.Cerebellum.Cortex_male.Rdata,mfp.male.model,5440.367104425517
Right.Hippocampus_female.Rdata,mfp.female.model,356.1357775538207
Right.Hippocampus_male.Rdata,mfp.male.model,408.53633066371896
Right.Pallidum_female.Rdata,mfp.female.model,170.47534409936995
Right.Pallidum_male.Rdata,mfp.male.model,197.12052639911008
Right.Putamen_female.Rdata,mfp.female.model,479.19827403013676
Right.Putamen_male.Rdata,mfp.male.model,526.4427456369615
Right.Thalamus_female.Rdata,mfp.female.model,496.6740576227358
Right.Thalamus_male.Rdata,mfp.male.model,557.4303321482208
lh_bankssts_volume_female.Rdata,mfp.female.model,387.28544339652444
lh_bankssts_volume_male.Rdata,mfp.male.model,458.0046293955666
lh_caudalanteriorcingulate_volume_female.Rdata,mfp.female.model,438.12523362400526
lh_caudalanteriorcingulate_volume_male.Rdata,mfp.male.model,480.6292335294869
lh_caudalmiddlefrontal_volume_female.Rdata,mfp.female.model,942.5150588536884
